"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ACEPT2","BANKS LIABILITY ON ACCEPT-CAVG2","CDI","RC-BAL","",""
"ACEPT5","BANKS LIABILITY ON ACCEPT-CAVG5","CDI","RC-BAL","",""
"ASDRTOT","SOLD W/RECOURSE N/SECUR-TOTAL","CDI","RC-S","",""
"ASSET2","TOTAL ASSETS-CAVG2","CDI","RC-BAL","",""
"ASSET5","TOTAL ASSETS-CAVG5","CDI","RC-BAL","",""
"ASSETCP","TOTAL ASSETS-CP","CDI","RC-BAL","",""
"ASSETD2","TOTAL ASSETS-DOM-CAVG2","CDI","RC-BAL","",""
"ASSETD5","TOTAL ASSETS-DOM-CAVG5","CDI","RC-BAL","",""
"ASSETF2","TOTAL ASSETS-FOR-CAVG2","CDI","RC-BAL","",""
"ASSETF5","TOTAL ASSETS-FOR-CAVG5","CDI","RC-BAL","",""
"ASSETFW","TOTAL ASSETS-FOR-W","CDI","RC-BAL","",""
"ASSETPP","TOTAL ASSETS-PP","CDI","RC-BAL","",""
"ASSETQT","AVERAGE ASSETS-TANGIBLE-PCA","CDI","RC-R","",""
"ASSTLT","LONG-TERM ASSETS (5+ YEARS)-QBP","CDI","RC-BAL","",""
"AVASSET4","AVG TOTAL ASSETS-CAVG4","CDI","RC-K","",""
"AVASSETJ","AVERAGE ASSETS-ADJUSTED-PCA","CDI","RC-R","",""
"AVASSETP","AVERAGE ASSETS-ADJUSTED-RBP","CDI","RC-R","",""
"AVCHBLI4","AVG.INT.-BEARING BK BAL-CAVG4","CDI","RC-K","",""
"AVDIFOR4","AVG INT-BEARING DEP-FOR-CAVG4","CDI","RC-K","",""
"AVDITRN4","AVG INT BEARING TRAN ACCT-CAVG4","CDI","RC-K","",""
"AVDMMDA4","AVG NONTRANS ACCT-MMDA-CAVG4","CDI","RC-K","",""
"AVDNT104","AVG NONTR CD GT $250,000-CAVG4","CDI","RC-K","",""
"AVDNTOT4","AVG NONTR CD LE $250,000-CAVG4","CDI","RC-K","",""
"AVDOTHS4","AVG NONTRANS ACCT-OTH SAV-CAVG4","CDI","RC-K","",""
"AVFREP4","AVG FED FUND & REPOS PURCH-CAVG4","CDI","RC-K","",""
"AVFREPO4","AVG FED FUNDS & REPOS SOLD-CAVG4","CDI","RC-K","",""
"AVLN4","AVG LOANS-CAVG4","CDI","RC-K","",""
"AVLNAG4","AVG AGRICULTURAL LOANS-CAVG4","CDI","RC-K","",""
"AVLNAGS4","AVG AG LOANS*SMALL BKS-CAVG4","CDI","RC-K","",""
"AVLNCI4","AVG C&I LOANS-CAVG4","CDI","RC-K","",""
"AVLNCO4","AVG -OTHER LNS TO INDI-CAVG4","CDI","RC-K","",""
"AVLNCON4","AVG CONSUMER LOANS-CAVG4","CDI","RC-K","",""
"AVLNCRC4","AVG CREDIT CARD LOANS-CAVG4","CDI","RC-K","",""
"AVLNDOM4","AVG LOANS-DOME-CAVG4","CDI","RC-K","",""
"AVLNFOR4","AVG LOANS-FOR-CAVG4","CDI","RC-K","",""
"AVLNIL4","AVG INSTALLMENT LOANS-CAVG4","CDI","RC-K","",""
"AVLNLS4","AVG LOANS AND LEASES-CAVG4","CDI","RC-K","",""
"AVLNMUN4","AVG MUNI LOANS-CAVG4","CDI","RC-K","",""
"AVLNRE4","AVG REAL ESTATE LOANS-CAVG4","CDI","RC-K","",""
"AVLS4","AVG LEASES-CAVG4","CDI","RC-K","",""
"AVOTHBO4","AVG OTHER BORROWED MONEY-CAVG4","CDI","RC-K","",""
"AVSAVDP4","AVG SAVINGS DEPOSITS -CAVG4","CDI","RC-K","",""
"AVSCDEB4","AVG OTHER DEBT SECURITIES-CAVG4","CDI","RC-K","",""
"AVSCEQ4","AVG EQUITY SECURITIES-CAVG4","CDI","RC-K","",""
"AVSCMTG4","AVG MORTGAGE BACK SEC-CAVG4","CDI","RC-K","",""
"AVSCOTH4","AVG-ALL OTHER SEC-CAVG4","CDI","RC-K","",""
"AVSCUS4","AVG US TREASURY & AGENCY-CAVG4","CDI","RC-K","",""
"AVSCUST4","AVG US TREAS (EX:MBS)-CAVG4","CDI","RC-K","",""
"AVTRADE4","AVG TRADING ACCOUNTS-CAVG4","CDI","RC-K","",""
