"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ASSET","TOTAL ASSETS","MERG","RC-BAL","RCFD2170 RCON2170",""
"ASSIST","ASSISTED TRANSACTION FLAG","MERG","MERG","",""
"ASSISTBY","ASSISTED BY TRANSACTION FLAG","MERG","MERG","",""
"C_BKCLAS","CLOSED INSTITUTION CLASS","MERG","MERG","",""
"C_CERT","CLOSED CERTIFICATE NUMBER","MERG","MERG","",""
"C_CHRTAG","CLOSED CHARTER AGENT","MERG","MERG","",""
"C_CITY","CLOSED INSTITUTION CITY NAME","MERG","MERG","",""
"C_CLCODE","CLOSING CLASS CODE","MERG","MERG","",""
"C_CNSRVE","CLOSED RTC CONSERVATORSHIP FLAG","MERG","MERG","",""
"C_ENTTYP","CLOSED ENTITY TYPE","MERG","MERG","",""
"C_INSBIF","CLOSED BANK INSURANCE FUND FLAG","MERG","MERG","",""
"C_INSDIF","CLOSED DEPOSIT INS FUND FLAG","MERG","MERG","",""
"C_INSSAI","CLOSED SAVING INS FUND FLAG","MERG","MERG","",""
"C_NAME","CLOSED INSTITUTION NAME","MERG","MERG","",""
"C_NAMELG","CLOSED INSTITUTION LEGAL NAME","MERG","MERG","",""
"C_OAKAR","CLOSED OAKAR FLAG","MERG","MERG","",""
"C_REGAGN","CLOSED PRIMARY REGULATING AGENCY","MERG","MERG","",""
"C_REORG","CLOSED REOGANIZATION FLAG","MERG","MERG","",""
"C_RSSDID","CLOSED FEDERAL RESERVE ID NUMBER","MERG","MERG","",""
"C_SASSER","CLOSED SASSER FLAG","MERG","MERG","",""
"C_STALP","CLOSED FIPS STATE ALPHA CODE","MERG","MERG","",""
"C_STCNTY","CLOSED FIPS STATE/COUNTY NUMBER","MERG","MERG","",""
"CALL_FORM","REPORT FORM","MERG","STRU","",""
"CERT","CERTIFICATE NUMBER","MERG","MERG","",""
"CLOSED","CLOSED INSTITUTION FLAG","MERG","MERG","",""
"CODE2XX","CLOSING TRANSACTION CODE","MERG","MERG","",""
"CODE8XX","MERGING TRANSACTION CODE","MERG","MERG","",""
"CONSERVE","RTC CONSERVATORSHIP FLAG","MERG","STRU","",""
"DAY","DAY","MERG","MERG","",""
"DEP","TOTAL DEPOSITS","MERG","RC-BAL","RCON2200",""
"EFFDATE","EFFECTIVE DATE (CCYYMMDD)","MERG","MERG","",""
"FAILED","FAILED INSTITUTION FLAG","MERG","MERG","",""
"FGN","HISTORICAL FRBH FOREIGN FLAG","MERG","FRBH","",""
"INSBIF","BANK INSURANCE FUND FLAG","MERG","STRU","",""
"INSDIF","DEPOSIT INSURANCE FUND FLAG","MERG","STRU","",""
"INSSAIF","SAIF INSURANCE FUND FLAG","MERG","STRU","",""
"L_ASSET","LAST REPORT ASSETS","MERG","MERG","",""
"L_CERT","LAST CLOSED INSTITUTION LINK","MERG","MERG","",""
"L_DEP","LAST REPORTED  DEPOSITS","MERG","MERG","",""
"L_LNLSGR","LAST REPORTED GROSS LOANS","MERG","MERG","",""
"L_REPDTE","LAST REPORT DATE","MERG","MERG","",""
"L_REPYM","LAST REPORT YEAR/MONTH (CCYYMM)","MERG","MERG","",""
"L_REPYMD","LAST REPORT DATE (CCYYMMDD)","MERG","MERG","",""
"LNLSGR","LOANS AND LEASES-TOTAL","MERG","RC-BAL","RCFD2122 RCON2122",""
"MERGMETH","MERGER METHOD FLAG","MERG","MERG","",""
"MONTH","MONTH","MERG","MERG","",""
"N_BKCLAS","NEW INSTITUTION CLASS","MERG","MERG","",""
"N_CHRTAG","NEW CHARTER AGENT","MERG","MERG","",""
"N_CITY","ACQUIRIING INSTITUTION CITY NAME","MERG","MERG","",""
"N_CLCODE","NEW CLASS CODE","MERG","MERG","",""
"N_ENTTYP","NEW ENTITY TYPE","MERG","MERG","",""
"N_INSBIF","NEW BANK INSURANCE FUND FLAG","MERG","MERG","",""
"N_INSDIF","NEW DEPOSIT INSURANCE FUND FLAG","MERG","MERG","",""
"N_INSSAI","NEW SAVINGS INSURANCE FUND FLAG","MERG","MERG","",""
"N_NAME","NEW INSTITUTION NAME","MERG","MERG","",""
"N_NAMELG","NEW INSTITUTION LEGAL NAME","MERG","MERG","",""
"N_OAKAR","NEW OAKAR FLAG","MERG","MERG","",""
"N_REGAGN","NEW PRIMARY REGULATING AGENCY","MERG","MERG","",""
"N_RSSDID","NEW FEDERAL RESERVE ID NUMBER","MERG","MERG","",""
"N_SASSER","NEW SASSER FLAG","MERG","MERG","",""
"N_STALP","NEW FIPS STATE ALPHA CODE","MERG","MERG","",""
"N_STCNTY","NEW FIPS STATE/COUNTY NUMBER","MERG","MERG","",""
"NEWCERT","NEW CERTIFICATE NUMBER","MERG","MERG","",""
"OBA","OPEN BANK ASSISTANCE FLAG","MERG","MERG","",""
"QTR","QUARTER NUMBER","MERG","MERG","",""
"REPDTE","REPORT DATE","MERG","MERG","",""
"RPTRC","REPORT OF CONDITION FLAG","MERG","FRBH","",""
"RSSDID","FEDERAL RESERVE ID NUMBER","MERG","STRU","",""
"UPDDATE","LAST UPDATE DATE STAMP","MERG","MERG","",""
"UPDTIME","LAST UPDATE TIME STAMP","MERG","MERG","",""
"UPDUSER","LAST UPDATE USER STAMP","MERG","MERG","",""
"YEAR","YEAR","MERG","MERG","",""
"YEARQTR","YEARQTR","MERG","MERG","",""
