"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ACTEVT","ACTIVITY EVENT CODE","STRU","STRU","",""
"ACTIVE","ACTIVE INSTITUTION FLAG","STRU","STRU","",""
"ADDRESS","ADDRESS","STRU","STRU","",""
"BKCLASS","INSTITUTION CLASS","STRU","STRU","",""
"BRANCH","BRANCHING","STRU","STRU","",""
"CALLYM","REPORT DATE (CCYYMM)","STRU","STRU","",""
"CALLYMD","REPORT DATE (CCYYMMDD)","STRU","STRU","",""
"CBSA","CORE BASED STATISTICAL NUMBER","STRU","STRU","",""
"CBSADIV","CORE BASED STATISTICAL DIVISION NUMBER","STRU","STRU","",""
"CBSANAME","CORE BASED STATISTICAL DIVISION NAME","STRU","STRU","",""
"CERT","CERTIFICATE NUMBER","STRU","STRU","",""
"CHRTAGNT","CHARTER AGENT","STRU","STRU","",""
"CITY","CITY","STRU","STRU","",""
"CITYHCD","CITY-HOLDING COMPANY-DIRECT","STRU","FRBDB2","",""
"CITYHCR","CITY-HOLDING COMPANY-REGULATORY","STRU","FRBDB2","",""
"CLCODE","CLASS CODE","STRU","STRU","",""
"CLOSED","CLOSED INSTITUTION FLAG","STRU","STRU","",""
"CMSA","FIPS CMSA CODE","STRU","STRU","",""
"CNTRYALP","FIPS COUNTRY CODE","STRU","STRU","",""
"CNTRYNUM","FIPS COUNTRY NUMBER","STRU","STRU","",""
"CNTYNUM","FIPS COUNTY NUMBER","STRU","STRU","",""
"CONSERVE","RTC CONSERVATORSHIP FLAG","STRU","STRU","",""
"CSA","COMBINED STATISTICAL AREA","STRU","STRU","",""
"DENOVO","NEW BRICK AND MORTAR FLAG","STRU","FTS","",""
"DIVISION","DIVISION FLAG","STRU","STRU","",""
"DOCKET","DOCKET NUMBER","STRU","STRU","",""
"EDGECODE","INTERNATIONAL ACTIVITY FLAG","STRU","STRU","",""
"EFFDATE","EFFECTIVE DATE","STRU","STRU","",""
"ENTTYPE","ENTITY TYPE","STRU","STRU","",""
"ESTYMD","ESTABLISHED DATE","STRU","STRU","",""
