variable,correlation,abs_correlation,pvalue,source,camels,description
RBCPCA,0.302,0.302,0.0,RAT,C,RBC CATEGORY-PCA
AVTANEQ,0.1488,0.1488,0.0,FTS,C,AVG TANGIBLE EQUITY-ASSMT
LNAGT1R,0.138,0.138,0.0,RAT,C,AG LOANS/TIER 1
LNCIT1R,0.1312,0.1312,0.0,RAT,C,C&I LOANS/TIER 1
RBCERI,-0.1197,0.1197,0.0,FTS,E,ELIGIBLE RETAINED INCOME
LNCONT1R,0.1044,0.1044,0.0,RAT,C,CONSUMER LOANS/TIER 1
ROEQ,-0.0636,0.0636,0.0,RAT,C,RETURN ON EQUITY- BANK- QTR
CHBALRCR,0.0508,0.0508,0.0,FTS,L,CASH & BAL BS - RC-R COL A
EQ2,-0.0505,0.0505,0.322077,CDI,C,TOTAL BANK EQUITY CAPITAL-CAVG2
NCRELOCR,0.0492,0.0492,0.0,RAT,C,N/C HOME EQUITY/HOME EQUITY
EQ5,-0.0471,0.0471,0.375599,CDI,C,TOTAL BANK EQUITY CAPITAL-CAVG5
CHBAL2,0.0399,0.0399,0.050439,CDI,L,CASH & DUE FROM DEPOS INST-CAVG2
CT1BADJ,-0.039,0.039,0.440273,FTS,C,RC-R COM EQUITY T1 BEFORE ADJ
CHBAL,0.0374,0.0374,0.048936,FTS,L,CASH & DUE FROM DEPOSITORY INST
CHFL,-0.0362,0.0362,0.0,CDI,L,NET OPERATING CASH FLOW
CHFLA,-0.0358,0.0358,0.0,CDI,L,NET OPERATING CASH FLOW-ANN
P3RER,0.0345,0.0345,0.0,RAT,A,30-89 PAST DUE RE/RE
NETINCPP,-0.0335,0.0335,0.0,CDI,E,NET INCOME - BANK - PP
CHFLQ,-0.031,0.031,0.0,CDI,L,NET OPERATING CASH FLOW-QTR
NETINQPP,-0.031,0.031,0.0,CDI,E,NET INCOME- BANK- QTR-PP
LNCDT1R,0.0305,0.0305,0.0,RAT,C,CONSTR & LAND DEV LNS/TIER 1
